"","number","contract_name","name","address","banking","bonus","bike_stands","available_bike_stands","available_bikes","status","last_update","position.lat","position.lng"
"150",10047,"lyon","10047 - LHERMINIER / PRESSENSÉ","Avenue du Cdt Lherminier/Angle rue F. de Pressensé",FALSE,FALSE,15,5,9,"OPEN",1695363254000,45.771143,4.88504
"151",10049,"lyon","10049 - BORNE TEST A. THOMAS","Rue Francis de Pressensé/angle 8 mai 1945",FALSE,FALSE,0,0,0,"CLOSED",1695363188000,45.751404,4.836395
"152",7021,"lyon","7021 - CHALLEMEL LACOUR / GERLAND","176–180 Rue de Gerland 69007 Lyon",FALSE,FALSE,12,8,4,"OPEN",1695363225000,45.729791,4.838138
"153",3004,"lyon","3004 - BOURSE DU TRAVAIL","Angle rue Moncey / Part-Dieu",TRUE,FALSE,27,21,6,"OPEN",1695363240000,45.759648,4.848139
"154",3016,"lyon","3016 - LIBERTÉ / PART-DIEU","Angle rue de la Part-Dieu",TRUE,FALSE,18,18,0,"OPEN",1695362763000,45.759361,4.842308
"155",2003,"lyon","2003 - PLACE AMPÈRE","Angle Henry IV",FALSE,FALSE,10,7,3,"OPEN",1695363147000,45.753049,4.828297
"156",7017,"lyon","7017 - BEAUVOIR / MAROT","",FALSE,FALSE,20,3,17,"OPEN",1695363192000,45.73674,4.834106
"157",19001,"lyon","19001 - ST GENIS L. - MÉDIATHÈQUE","",TRUE,TRUE,12,3,9,"OPEN",1695362939000,45.697863,4.794658
"158",6003,"lyon","6003 - AVENUE VERGUIN","Devant l'entrée du parc",TRUE,FALSE,20,6,14,"OPEN",1695363264000,45.772846,4.856274
"159",7015,"lyon","7015 - TECHSUD","Rue professeur Jean Bernard angle Boulevard Chambaud de la Bruyère Lyon 7",FALSE,FALSE,12,5,7,"OPEN",1695363179000,45.7228,4.842706
"160",8024,"lyon","8024 - MERMOZ / MICHELET","Angle av Michelet",FALSE,FALSE,12,6,6,"OPEN",1695362972000,45.733317,4.878607
"161",7026,"lyon","7026 - BALDASSINI / GERLAND","",FALSE,FALSE,20,2,18,"OPEN",1695363266000,45.727691,4.837392
"162",24001,"lyon","24001 - ECULLY - MAIRIE","",TRUE,TRUE,12,12,0,"OPEN",1695363074000,45.775112,4.778531
"163",7007,"lyon","7007 - FARGE / AYASSE","Angle Bld Y. Farge / rue Commandant Ayasse",FALSE,FALSE,20,13,7,"OPEN",1695363101000,45.735741,4.827725
"164",8038,"lyon","8038 - ALBERT THOMAS / VILLON","Angle rue Villon",FALSE,FALSE,20,17,3,"OPEN",1695363090000,45.746691,4.867501
"165",10072,"lyon","10072 - JACQUES BREL","Rue Jacques Brel/angle rue Korel",FALSE,FALSE,23,4,19,"OPEN",1695363072000,45.774228,4.864269
"166",18001,"lyon","18001 - PIERRE BÉNITE - EUROPE","",TRUE,FALSE,15,11,4,"OPEN",1695362898000,45.703245,4.821204
"167",6020,"lyon","6020 - MUSÉE GUIMET","Angle rue Morellet",TRUE,FALSE,15,12,3,"OPEN",1695362966000,45.774526,4.848443
"168",12001,"lyon","12001 - VAULX - LA SOIE","45 RUE DE LA POUDRETTE (VILLEURBANNE)",TRUE,FALSE,25,17,8,"OPEN",1695363231000,45.760908,4.920569
"169",10055,"lyon","10055 - CONDORCET / GALLINE","Avenue Galline/angle av. de Condorcet",FALSE,FALSE,15,1,14,"OPEN",1695363082000,45.776428,4.866976
"170",6025,"lyon","6025 - PLACE D'HELVÉTIE","",TRUE,FALSE,30,30,0,"OPEN",1695363128000,45.773232,4.841949
"171",3094,"lyon","3094 - VILLETTE","74 RUE DE LA VILLETTE",FALSE,FALSE,38,30,8,"OPEN",1695363172000,45.757808,4.861512
"172",5044,"lyon","5044 - CHAMPVERT","87 RUE DOCTEUR EDMOND LOCARD",TRUE,TRUE,15,15,0,"OPEN",1695362706000,45.760056,4.798366
"173",3069,"lyon","3069 - DAUPHINÉ / SAINT-MAXIMIN","",FALSE,FALSE,30,8,22,"OPEN",1695363206000,45.750002,4.864587
"174",10006,"lyon","10006 - CHARPENNES","Place Charles Hernu / côté sud",TRUE,FALSE,46,28,18,"OPEN",1695363214000,45.770225,4.863102
"175",9011,"lyon","9011 - CONSERVATOIRE","Quai Chauveau / angle Pont Koenig",TRUE,FALSE,19,19,0,"OPEN",1695363137000,45.769803,4.812681
"176",21001,"lyon","21001 - LA MULATIERE - AQUARIUM","",TRUE,FALSE,24,24,0,"OPEN",1695363186000,45.727309,4.814779
"177",9015,"lyon","9015 - SAINT-CYR","",FALSE,FALSE,30,13,16,"OPEN",1695363183000,45.782855,4.807288
"178",6012,"lyon","6012 - PLACE PUVIS DE CHAVANNES","Angle rue Vendôme",FALSE,FALSE,10,10,0,"OPEN",1695362920000,45.771794,4.84459
"179",8009,"lyon","8009 - JEAN XXIII / MERMOZ","Boulevard Jean XXIII - Angle de la rue Mermoz",TRUE,FALSE,20,16,3,"OPEN",1695362996000,45.73648,4.869789
"180",3036,"lyon","3036 - FELIX FAURE / VIVIER MERLE","AVENUE FELIX FAURE ANGLE VIVIER MERLE. 10M AVANT VIVIER MERLE EN DIRECTION DU RHONE",FALSE,FALSE,35,13,22,"OPEN",1695363165000,45.75381,4.859795
